"site","region","apn","product","part_description","sto_class","req_number","req_qty","req_date","days_open"
"AUS2","NA","3037850","USP","ZIP TIES, STANDARD","01 HIGH","1718720","1.0","2026-03-05","148"
"AUS2","NA","3037851","USP","ALTERNATE PLASTIC P-CLIP (MUST DRILL MOUNTING HOLE TO M6)","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3043376","USP","ZLD18-BFZ4B8 SIMPLE SENSE","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3043399","USP","D-MAX WEB GUIDE CONTROLLER,INPUT VOLTAGE 24 - 48 VDC, 6 DIGITAL INPUTS, 2 OUTPUT","01 HIGH","1718720","1.0","2026-03-05","148"
"AUS2","NA","3043407","USP","SICK IME2S Series Non-Flush Inductive Non-Contact Safety Switch, 24V dc, Nickel Plated Brass Housing, 2NO, M12","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3208459","USP","FIELD ATTACHABLE CONNECTOR","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3466138","USP","VERTICAL VPL SERIES, FRAME SIZE 100MM, T WINDING, RATED SPEED 7200-80","01 HIGH","1718720","1.0","2026-03-05","148"
"AUS2","NA","3466140","USP","KINETIX VP LOW INERTIA MOTOR,","01 HIGH","1718720","1.0","2026-03-05","148"
"AUS2","NA","3466145","USP","RIGHT HORIZONTAL SEAL BAR ASSY","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3466149","USP","PIVOT BLOCK","01 HIGH","1718720","2.0","2026-03-05","148"
"AUS2","NA","3466153","USP","RIGHT VERTICAL SEAL BAR ASSY","01 HIGH","1718720","2.0","2026-03-05","148"
